roi,R,skel_beta,cornet_s_beta,skel_beta_ci_low,cornet_s_beta_ci_low,skel_beta_ci_high,cornet_s_beta_ci_high
lPPC_spaceloc,0.008263292948783807,0.021119490522672743,-0.1034940788764891,-0.13784215637308989,-0.2556314600251432,0.17688299040340474,0.057726568159212815
rPPC_spaceloc,0.1080027023065574,0.3327876579616158,-0.00632083463258612,0.17665855782852177,-0.15503868542954366,0.4907551319316009,0.15012122853974694
lAPC_spaceloc,0.001675227626642184,0.03270185900053066,-0.05442591346130949,-0.12361476773393064,-0.21520463744529408,0.19104934875788923,0.10435849201898738
rAPC_spaceloc,0.011829089631422263,0.14160066728119058,-0.06997531958149114,-0.009620208800522438,-0.21971155039862106,0.2932429923014483,0.08191419219381339
lPPC_toolloc,0.01677480221275729,0.10416723661920994,0.03438320904100826,-0.03963651523772937,-0.10710900296448825,0.25322977424766313,0.1830563749548832
rPPC_toolloc,0.015367452159471995,0.035893353242994655,0.09725089889536111,-0.10313328619565233,-0.04116967464426185,0.17541982020510732,0.24255559032063745
lLO_toolloc,0.07763453740571957,0.1708454415580088,0.1343666270780466,0.04138612684475462,-0.006522262074029472,0.3012396328479691,0.2749259809123907
rLO_toolloc,0.0265422448555358,0.0430955090354557,0.13115592690467232,-0.11031899743558522,-0.018014868712845696,0.19611897870930817,0.2778926599651379
lPFS_toolloc,0.012548424639145628,0.1405805945830298,-0.05503891157918655,-0.012935904733230011,-0.20985262063604776,0.29342225549836815,0.0914703919016425
rPFS_toolloc,0.011578222666044136,-0.09911335156257611,0.14345137550343723,-0.24568770926913117,-0.009865401912828003,0.05354330149720228,0.2941069524692015
